 &plot nbnd= 100, nks=   701 /
            0.000000  0.000000  0.000000
  -72.232  -72.224  -38.008  -38.008  -37.997  -37.985  -37.948  -37.948  -28.807   -9.835
   -9.826   -9.809   -0.663    1.925    6.038    7.214    7.347    8.227    8.394    8.881
    9.201    9.731    9.855   10.100   10.476   10.604   11.759   12.175   12.804   13.871
   14.720   15.957   16.122   16.308   17.063   17.288   17.589   18.456   19.378   20.016
   20.578   21.311   21.634   22.608   24.137   24.780   25.150   25.676   26.208   26.702
   27.356   28.342   28.618   29.353   30.725   30.752   31.654   32.338   32.445   33.239
   34.376   35.103   36.731   36.788   37.078   37.733   38.258   38.423   38.944   39.390
   40.224   40.393   40.483   40.723   41.122   41.266   42.626   42.666   43.404   43.607
   43.730   44.206   44.673   44.975   45.354   45.432   45.822   46.086   46.426   46.825
   47.268   47.688   47.761   48.272   48.687   48.842   49.777   50.560   50.596   50.877
            0.214084  0.000000  0.090220
  -72.232  -72.224  -38.008  -38.007  -37.997  -37.985  -37.949  -37.949  -28.807   -9.836
   -9.826   -9.809   -0.656    1.923    6.049    7.208    7.348    8.235    8.390    8.872
    9.206    9.723    9.858   10.091   10.456   10.579   11.777   12.159   12.805   13.891
   14.758   15.937   16.142   16.314   17.050   17.312   17.573   18.487   19.340   19.992
   20.570   21.294   21.633   22.636   24.166   24.791   25.130   25.695   26.259   26.747
